	domain	comment	source_corpus
0	machineseeker.hr	machine translation	MaCoCu-hr 1.0
1	mi.warbletoncouncil.org	foreign languages	MaCoCu-hr 1.0
2	haw.warbletoncouncil.org	foreign languages	MaCoCu-hr 1.0
3	bs.warbletoncouncil.org	machine translation	MaCoCu-hr 1.0
4	hr.eferrit.com	machine translation	MaCoCu-hr 1.0
5	game-game.com.hr	machine translation	MaCoCu-hr 1.0
6	hr.strephonsays.com	machine translation	MaCoCu-hr 1.0
7	haw.evidentista.org	foreign languages	MaCoCu-hr 1.0
8	hr.weblogographic.com	machine translation	MaCoCu-hr 1.0
9	moforaja.com	encoding issues	MaCoCu-hr 1.0
10	m.baibala.org	foreign languages	MaCoCu-hr 1.0
11	map.com.hr	machine translation, non-textual, generated text	MaCoCu-hr 1.0
12	ha.warbletoncouncil.org	machine translation	MaCoCu-hr 1.0
13	mi.evidentista.org	foreign languages	MaCoCu-hr 1.0
14	bs.evidentista.org	machine translation	MaCoCu-hr 1.0
15	yurope.com	encoding issues	MaCoCu-hr 1.0
16	ha.evidentista.org	foreign languages	MaCoCu-hr 1.0
17	hr.evidentista.org	machine translation	MaCoCu-hr 1.0
18	en.bharatdiscovery.org	foreign languages	MaCoCu-hr 1.0
19	storyboardthat.com	machine translation	MaCoCu-hr 1.0
20	hr.ovalengineering.com	machine translation	MaCoCu-hr 1.0
21	hr.odisseialiteraria.com	machine translation	MaCoCu-hr 1.0
22	aozeljeznicar.hr	encoding issues	MaCoCu-hr 1.0
23	fontovi.gifmania.com.hr	non-textual, generated	MaCoCu-hr 1.0
24	crnakutija.babe.hr	machine translation	MaCoCu-hr 1.0
25	hrv.beashandmade.com	machine translation	MaCoCu-hr 1.0
26	uspdr-delta.hr	encoding issues	MaCoCu-hr 1.0
27	yo.warbletoncouncil.org	machine translation	MaCoCu-hr 1.0
28	sciencedocbox.com	non-textual	MaCoCu-hr 1.0
29	hr.wpcbh.org	machine translation	MaCoCu-hr 1.0
30	hr.goldavelez.com	machine translation	MaCoCu-hr 1.0
31	hr.hiloved.com	machine translation	MaCoCu-hr 1.0
32	hr.aroundtravels.com	machine translation	MaCoCu-hr 1.0
33	hr.10steps.org	machine translation	MaCoCu-hr 1.0
34	ig.warbletoncouncil.org	machine translation	MaCoCu-hr 1.0
35	hr.energymedresearch.com	machine translation	MaCoCu-hr 1.0
36	sw.warbletoncouncil.org	machine translation	MaCoCu-hr 1.0
37	hr.ncmhcso.org	machine translation	MaCoCu-hr 1.0
38	hr.livingorganicnews.com	machine translation	MaCoCu-hr 1.0
39	hr.istanbulbear.org	machine translation	MaCoCu-hr 1.0
