	domain	comment	source_corpus
0	fakti.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
1	news.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
2	bntnews.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
3	dnevnik.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
4	pik.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
5	vesti.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
6	actualno.com	ok	CLASSLA-web.2.0 (Eastern Slavic)
7	investor.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
8	dnes.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
9	frognews.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
10	old.duma.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
11	pogled.info	ok	CLASSLA-web.2.0 (Eastern Slavic)
12	blitz.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
13	novini.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
14	gol.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
15	duma.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
16	kmeta.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
17	webcafe.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
18	clubz.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
19	dnes.dir.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
20	money.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
21	struma.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
22	offnews.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
23	slava.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
24	bgnow.eu	ok	CLASSLA-web.2.0 (Eastern Slavic)
25	forum.setcombg.com	ok	CLASSLA-web.2.0 (Eastern Slavic)
26	struma.com	ok	CLASSLA-web.2.0 (Eastern Slavic)
27	btvnovinite.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
28	econ.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
29	botevgrad.com	ok	CLASSLA-web.2.0 (Eastern Slavic)
30	capital.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
31	24chasa.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
32	m.dnes.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
33	nova.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
34	bgonair.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
35	topsport.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
36	inews.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
37	iskra.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
38	gramophon.com	ok	CLASSLA-web.2.0 (Eastern Slavic)
39	puls.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
40	lifestyle.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
41	winner.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
42	edna.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
43	flashnews.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
44	gpk.caselaw.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
45	bazar.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
46	wwww.actualno.com	ok	CLASSLA-web.2.0 (Eastern Slavic)
47	old.4vlast-bg.com	ok	CLASSLA-web.2.0 (Eastern Slavic)
48	it-bg.org	ok	CLASSLA-web.2.0 (Eastern Slavic)
49	flagman.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
50	sinor.bg	ok	CLASSLA-web.2.0 (Eastern Slavic)
